name;real_name;Creador;creation_date;superpowers;intelligence_score;strength_score;speed_score;durability_score;Creador;type_race;height ;weight ;has_telepathy;has_magic;has_immortality
Bumbleboy;;Dark_Horse_Comics;23/7/60;Flight, Telepathy;97;42;24;62;Neutral;God_Eternal;116.35;936.67;0.0;0.0;0.0
Buri;Buri;DC_Comics;8/12/04;Accelerated Healing, Agility, Dexterity, Durability, Element Control, Endurance, Enhanced Senses, Invulnerability, Longevity, Magic, Reflexes, Size Changing, Stamina, Super Speed, Super Strength, Toxin and Disease Resistance;14;29;27;58;Good;Other;88.3;414.34;1.0;0.0;0.0
Bushido;Ryuko Orsono;Other;9/4/02;Agility, Weapons Master;68;57;31;35;Bad;Alien;192.38;795.07;0.0;1.0;0.0
Bushmaster (MCU);John Mclver;Shueisha;27/3/12;;18;77;12;81;Neutral;Alien;181.66;510.66;0.0;0.0;0.0
Butterball;Emery Schaub;Shueisha;14/5/47;Cold Resistance, Durability, Energy Resistance, Fire Resistance, Heat Resistance, Invulnerability, Magic Resistance, Mind Control Resistance, Regeneration, Self-Sustenance, Telepathy Resistance, Toxin and Disease Resistance, Weapons Master;12;77;73;81;Bad;Mutant;32.96;817.01;0.0;0.0;0.0
Cable (FOX);Nathan Summers;Shueisha;5/8/38;Durability, Element Control, Enhanced Sight, Force Fields, Invulnerability, Marksmanship, Super Strength, Technopath/Cyberpath, Telekinesis, Time Travel, Weapon-based Powers, Weapons Master;95;31;90;31;Neutral;Other;156.43;155.06;0.0;0.0;0.0
Cable;Nathan Summers;Marvel_Comics;20/12/76;Accelerated Healing, Agility, Astral Projection, Cloaking, Dexterity, Durability, Energy Blasts, Flight, Force Fields, Illusions, Intelligence, Marksmanship, Mind Blast, Mind Control, Mind Control Resistance, Molecular Manipulation, Precognition, Psionic Powers, Stamina, Stealth, Super Speed, Super Strength, Technopath/Cyberpath, Telekinesis, Telepathy, Telepathy Resistance, Teleportation, Time Travel, Vision - Thermal, Weapons Master;70;71;47;97;Bad;Human;137.23;862.83;1.0;0.0;0.0
Caesar;Caesar;Shueisha;8/10/38;;77;91;91;57;Good;Human;88.91;182.37;0.0;0.0;0.0
Caitlin Fairchild;Caitlin Fairchild;Shueisha;29/12/63;Accelerated Healing, Agility, Intelligence, Invulnerability, Marksmanship, Phasing, Possession, Reflexes, Shapeshifting, Stamina, Super Speed, Super Strength;50;66;79;87;Bad;Human;268.47;245.27;0.0;0.0;1.0
Calculator;Noah Kutller;Lego;30/12/94;Dimensional Travel, Energy Constructs, Intelligence, Intuitive aptitude, Photographic Reflexes, Power Suit, Technopath/Cyberpath, Weapon-based Powers;46;67;42;27;Good;Human;249.82;254.41;0.0;0.0;0.0
Caliban (FOX);;DC_Comics;17/7/60;Agility, Enhanced Senses, Enhanced Smell, Intelligence;28;25;71;57;Neutral;MetaHuman;211.62;893.16;0.0;0.0;0.0
Caliban;;DC_Comics;3/5/48;Agility, Emotional Power Up, Energy Absorption, Fear Inducement, Radar Sense, Reflexes, Stamina, Super Speed, Super Strength;64;7;71;23;Bad;Mutant;169.74;199.89;0.0;0.0;0.0
Callisto;Callisto;Lego;14/5/96;;98;92;46;47;Bad;God_Eternal;84.43;230.85;0.0;1.0;0.0
Cameron Hicks;;Marvel_Comics;24/7/91;Hyperkinesis, Marksmanship, Spatial Awareness;36;48;67;23;Good;Mutant;109.5;607.85;1.0;0.0;0.0
Cannonball;Samuel Zachery Guthrie;Dark_Horse_Comics;14/1/03;;57;89;34;82;Good;God_Eternal;190.75;582.3;0.0;0.0;0.0
Captain America 2099;Roberta Mendez;Other;31/5/87;;75;38;13;99;Bad;Mutant;176.96;733.53;0.0;0.0;0.0
Captain America (EMH);Steve Rogers;Dark_Horse_Comics;27/4/12;Accelerated Healing, Agility, Durability, Longevity, Peak Human Condition, Reflexes, Stamina, Stealth, Super Speed, Super Strength, Toxin and Disease Resistance, Weapon-based Powers, Weapons Master;88;94;88;92;Good;Alien;105.61;876.36;0.0;1.0;1.0
Captain America (Venomized);Steve Rogers;DC_Comics;1/6/36;Accelerated Healing, Agility, Danger Sense, Dexterity, Durability, Endurance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Fire Resistance, Hacking, Intelligence, Jump, Longevity, Marksmanship, Mind Control Resistance, Natural Weapons, Peak Human Condition, Precognition, Radiation Immunity, Reflexes, Regeneration, Shapeshifting, Stamina, Stealth, Super Speed, Super Strength, Symbiote Costume, Telepathy Resistance, Toxin and Disease Resistance, Wallcrawling, Weapon-based Powers, Weapons Master, Web Creation;79;59;71;31;Good;God_Eternal;21.01;846.04;0.0;0.0;0.0
Captain America (Wild West);Steve Rogers;Other;14/4/41;Agility, Durability, Weapon-based Powers, Weapons Master;41;52;38;31;Bad;Human;44.35;838.34;0.0;0.0;0.0
Captain Atom;Nathaniel Adam;Other;14/12/59;Accelerated Healing, Agility, Energy Absorption, Energy Blasts, Energy Manipulation, Energy Resistance, Enhanced Senses, Enhanced Sight, Flight, Force Fields, Heat Generation, Immortality, Invisibility, Invulnerability, Molecular Manipulation, Natural Armor, Phasing, Radiation Absorption, Radiation Control, Radiation Immunity, Self-Sustenance, Super Speed, Super Strength, Technopath/Cyberpath, Time Manipulation, Time Travel, Weapons Master;100;12;36;35;Neutral;Alien;106.09;657.21;1.0;0.0;0.0
Captain Boomerang (CW);Digger Harkness;Marvel_Comics;18/8/40;;84;22;58;64;Good;Mutant;171.21;172.9;0.0;1.0;0.0
Captain Boomerang (DCEU);Digger Harkness;Dark_Horse_Comics;12/6/62;Agility, Durability, Marksmanship, Peak Human Condition, Reflexes, Stamina, Stealth, Weapon-based Powers, Weapons Master;75;41;83;13;Good;Human;267.43;43.61;0.0;0.0;0.0
Captain Boomerang;George Harkness;Dark_Horse_Comics;18/3/50;Agility, Marksmanship, Reflexes, Stamina, Stealth, Weapons Master;63;22;73;29;Good;Mutant;134.1;17.54;0.0;0.0;0.0
Captain Britain;Brian Braddock;Shueisha;12/6/11;;69;39;60;56;Good;Other;104.39;846.89;0.0;0.0;0.0
Captain Cold (CW);Leonard Snart;Shueisha;7/1/02;;80;8;55;85;Bad;Alien;40.19;892.22;1.0;0.0;0.0
Captain Corbett;;DC_Comics;4/1/49;Animal Control, Intelligence, Weapon-based Powers, Weapons Master;46;84;83;10;Neutral;Human;188.85;34.64;0.0;0.0;0.0
Captain Epic;;Other;17/12/44;Jump, Super Speed, Super Strength;26;22;80;48;Good;Other;68.34;342.6;0.0;0.0;1.0
Captain Hindsight;Jack Brolin;Shueisha;17/11/09;Enhanced Senses, Flight, Super Speed;50;38;19;84;Good;Other;96.44;663.82;0.0;0.0;0.0
Captain Mar-vell;Genis-Vell;DC_Comics;9/8/84;;41;40;72;61;Neutral;Other;240.28;691.91;0.0;1.0;0.0
Captain Marvel II;Frederick Christopher Freeman;Lego;23/5/82;Clairvoyance, Hypnokinesis, Intelligence, Invulnerability, Omnilingualism, Super Strength;61;15;57;86;Good;Mutant;57.87;673.88;1.0;0.0;0.0
Captain Metropolis;Nelson Gardner;Shueisha;13/2/02;;54;65;42;83;Good;God_Eternal;92.94;600.19;0.0;0.0;0.0
Captain Planet;;Dark_Horse_Comics;24/5/18;;6;13;89;46;Neutral;Human;119.85;783.79;0.0;0.0;0.0
Captain Price;John Price;Lego;17/4/74;Agility, Durability, Marksmanship, Master Tactician, Peak Human Condition, Reflexes, Stamina, Stealth, Weapons Master;63;52;7;85;Bad;Human;235.12;157.5;0.0;1.0;1.0
Captain Soto;Soto;Other;13/4/57;Agility, Durability, Endurance, Enhanced Memory, Insanity, Intelligence, Longevity, Marksmanship, Peak Human Condition, Reflexes, Regeneration, Stamina, Stealth, Summoning, Super Strength, Weapon-based Powers, Weapons Master;23;42;80;8;Neutral;Other;208.12;639.09;0.0;0.0;0.0
Captain Stingaree;Karl Courtney;Shueisha;6/11/77;Acrobatics, Agility, Insanity, Weapon-based Powers, Weapons Master;77;19;35;19;Neutral;Alien;53.11;250.64;0.0;0.0;0.0
Captain Universe;;Dark_Horse_Comics;2/5/85;;83;89;16;25;Good;Mutant;255.83;982.44;1.0;0.0;0.0
Castiel;;DC_Comics;22/12/88;Accelerated Healing, Adaptation, Astral Projection, Cold Resistance, Durability, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Fire Control, Immortality, Intelligence, Invulnerability, Marksmanship, Omnilingualism, Possession, Reflexes, Stamina, Super Strength, Teleportation, Time Travel, Weapons Master;12;23;87;71;Good;Alien;183.78;430.25;0.0;1.0;0.0
Cat;Shirlee Bryant;Lego;25/4/63;Agility, Enhanced Senses, Jump, Stamina, Super Strength;12;53;48;6;Good;Human;234.75;142.73;0.0;0.0;0.0
Catwoman (Dark Knight);Selina Kyle;Lego;13/9/78;Agility, Animal Attributes, Danger Sense, Dexterity, Empathy, Marksmanship, Peak Human Condition, Reflexes, Stamina, Stealth, Weapon-based Powers, Weapons Master;18;93;89;60;Good;MetaHuman;295.51;786.45;0.0;0.0;0.0
Catwoman (Injustice);Selina Kyle;DC_Comics;16/5/14;Agility, Animal Attributes, Dexterity, Empathy, Peak Human Condition, Reflexes, Stealth, Weapon-based Powers, Weapons Master;92;52;92;99;Neutral;Other;32.71;700.89;0.0;0.0;0.0
Catwoman;Selina Kyle;Other;22/6/63;;31;7;41;30;Bad;Mutant;196.49;39.01;1.0;0.0;0.0
Caulifla;Caulifla;Shueisha;8/6/37;Accelerated Healing, Adaptation, Agility, Danger Sense, Duplication, Energy Armor, Energy Beams, Energy Blasts, Energy Manipulation, Enhanced Hearing, Enhanced Senses, Flight, Force Fields, Illusions, Invulnerability, Jump, Levitation, Marksmanship, Portal Creation, Power Augmentation, Power Sense, Radar Sense, Reflexes, Shapeshifting, Stamina, Super Speed, Super Strength;67;76;31;10;Good;Alien;105.06;180.92;0.0;0.0;0.0
Cecilia Reyes;Dr. Cecilia Reyes;DC_Comics;5/1/05;;17;28;15;91;Neutral;Mutant;240.95;142.66;0.0;0.0;1.0
Century;;Marvel_Comics;15/5/51;Dimensional Travel, Regeneration, Teleportation;28;75;51;71;Neutral;Other;228.89;385.32;0.0;0.0;0.0
Cerebra;Shakti Haddad;Other;6/12/00;Power Sense;88;90;12;21;Neutral;Human;225.28;830.97;0.0;0.0;0.0
Chamber;Jonothon Evan Starsmore;Marvel_Comics;1/7/39;;61;94;31;22;Bad;Mutant;253.74;341.2;0.0;1.0;0.0
Champion Of The Universe;Tryco Slatterus;Marvel_Comics;7/11/72;Accelerated Healing, Agility, Cold Resistance, Dexterity, Durability, Endurance, Enhanced Senses, Heat Resistance, Immortality, Invulnerability, Jump, Marksmanship, Master Martial Artist, Reflexes, Regeneration, Resurrection, Self-Sustenance, Stamina, Stealth, Super Speed, Super Strength, Toxin and Disease Resistance;31;32;63;34;Good;Alien;82.48;257.94;0.0;0.0;0.0
Changeling;Kevin Sidney;DC_Comics;3/6/22;Shapeshifting, Telekinesis, Telepathy;73;65;53;26;Good;Human;201.02;480.45;0.0;0.0;0.0
Cheetah II;Deborah Domaine;Lego;24/4/67;Agility, Animal Oriented Powers, Reflexes, Stamina, Super Speed, Super Strength;14;98;40;62;Neutral;Human;111.23;178.83;0.0;1.0;1.0
Cheetah III;Barbara Minerva;Shueisha;22/3/50;Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Durability, Enhanced Hearing, Enhanced Senses, Enhanced Sight, Enhanced Smell, Intelligence, Jump, Reflexes, Shapeshifting, Stamina, Stealth, Super Speed, Super Strength, Vision - Night;58;20;89;5;Bad;Human;280.26;174.91;0.0;0.0;0.0
Cheetah;Priscilla Rich;Lego;1/2/65;Agility, Animal Oriented Powers, Reflexes, Stamina, Stealth;64;49;34;74;Good;Alien;257.92;820.8;0.0;0.0;0.0
Cheshire;Jade Nguyen;Marvel_Comics;28/11/85;Agility, Intelligence, Marksmanship, Reflexes, Stamina, Stealth, Toxin and Disease Control, Wallcrawling, Weapon-based Powers, Weapons Master;89;23;57;69;Good;Human;255.51;770.02;1.0;0.0;0.0
Chewtoy;Unknown;DC_Comics;3/3/59;Agility, Camouflage, Enhanced Smell, Insanity, Marksmanship, Power Suit, Stealth, Weapon-based Powers, Weapons Master;80;6;46;26;Neutral;God_Eternal;219.96;273.85;0.0;1.0;0.0
Chipmunk Hunk;Tomas Lara-Perez;Shueisha;30/5/45;Animal Attributes, Animal Control, Animal Oriented Powers, Jump, Sonic Scream, Super Strength;39;55;89;84;Neutral;Human;227.73;482.99;0.0;0.0;0.0
Chope;Chope;DC_Comics;3/8/18;Agility, Dexterity, Insanity, Marksmanship, Reflexes, Stamina, Stealth, Weapon-based Powers, Weapons Master;40;5;84;31;Good;MetaHuman;178.03;406.74;0.0;0.0;0.0
Chop'rai;Chope;Shueisha;25/4/71;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Camouflage, Cloaking, Dexterity, Durability, Endurance, Energy Resistance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fire Resistance, Heat Resistance, Insanity, Invulnerability, Jump, Longevity, Marksmanship, Natural Armor, Natural Weapons, Peak Human Condition, Photographic Reflexes, Reflexes, Self-Sustenance, Stamina, Stealth, Summoning, Super Speed, Super Strength, Telepathy Resistance, Toxin and Disease Resistance, Vision - Night, Wallcrawling, Weapons Master;44;68;30;70;Neutral;Alien;243.92;314.6;0.0;0.0;0.0
Chosen Undead;;Dark_Horse_Comics;29/11/70;;69;33;52;80;Bad;Other;64.46;335.02;1.0;0.0;0.0
Chroma;Roy G. Bivolo;Other;23/11/08;;88;32;63;29;Neutral;Alien;78.32;82.43;0.0;0.0;0.0
Chromos;Bernard Embers;Marvel_Comics;9/8/81;Agility, Energy Beams, Energy Blasts, Fire Control, Heat Resistance, Probability Manipulation, Reflexes, Stamina, Super Strength, Telepathy Resistance, Teleportation, Vision - Heat;45;66;36;71;Bad;MetaHuman;34.19;732.04;0.0;0.0;1.0
Chuck Norris;Carlos Ray Norris;Marvel_Comics;27/1/72;Peak Human Condition;95;21;52;13;Neutral;Human;221.82;63.21;0.0;0.0;0.0
Citizen Steel (CW);Nate Heywood;DC_Comics;23/11/18;Accelerated Healing, Agility, Cold Resistance, Durability, Fire Resistance, Heat Resistance, Intelligence, Intuitive aptitude, Invulnerability, Jump, Marksmanship, Natural Armor, Omnilingualism, Stamina, Super Strength;37;22;30;52;Bad;MetaHuman;101.54;974.52;0.0;0.0;0.0
Citizen Steel;Nathan Heywood;Dark_Horse_Comics;16/1/83;Agility, Durability, Jump, Natural Armor, Reflexes, Super Speed, Super Strength;38;100;56;32;Bad;MetaHuman;282.43;633.87;0.0;0.0;0.0
Claire Bennet;Claire Bennet;Lego;5/9/00;;83;46;80;13;Good;Human;205.07;400.84;0.0;1.0;0.0
Clea;Clea;DC_Comics;23/1/88;Animation, Astral Projection, Astral Travel, Darkforce Manipulation, Dimensional Awareness, Dimensional Travel, Durability, Energy Blasts, Energy Constructs, Energy Manipulation, Force Fields, Illusions, Intelligence, Invulnerability, Levitation, Longevity, Magic, Matter Manipulation, Molecular Manipulation, Portal Creation, Reality Warping, Stamina, Super Strength, Telekinesis, Teleportation, Wishing;82;48;92;86;Bad;Human;102.66;420.99;1.0;0.0;0.0
Cloak;Tyrone Johnson;Shueisha;16/2/84;;56;98;30;74;Neutral;MetaHuman;164.22;112.86;0.0;0.0;0.0
Clock King;William Tockman;Shueisha;1/11/14;;45;30;95;27;Good;MetaHuman;85.02;508.08;0.0;0.0;0.0
Cloud 9;"Abigail ""Abby"" Boylen";Marvel_Comics;14/8/62;Agility, Flight, Stealth;15;43;16;49;Good;Human;123.69;795.02;0.0;1.0;1.0
Cogliostro;Cain;Other;25/12/94;;9;39;12;96;Bad;Mutant;222.78;742.08;0.0;0.0;0.0
Cole (The LEGO Ninjago Movie);Cole;Shueisha;7/10/39;Agility, Element Control, Endurance, Master Martial Artist, Ninjutsu, Peak Human Condition, Power Suit, Reflexes, Stamina, Stealth, Super Strength, Terrakinesis, Weapon-based Powers, Weapons Master;68;81;32;90;Bad;Mutant;156.3;358.87;0.0;0.0;0.0
Cole;Cole;Shueisha;12/11/02;Ability Shift, Accelerated Healing, Adaptation, Agility, Animal Control, Camouflage, Durability, Element Control, Endurance, Enhanced Senses, Enhanced Touch, Flight, Force Fields, Hacking, Intangibility, Invisibility, Latent Abilities, Matter Absorption, Matter Manipulation, Natural Armor, Non-Physical Interaction, Peak Human Condition, Power Augmentation, Reflexes, Seismic Power, Spinjitzu, Stealth, Summoning, Super Breath, Super Speed, Super Strength, The Force, Transformation, Weapon-based Powers, Weapons Master;59;66;31;61;Bad;MetaHuman;123.57;453.65;1.0;0.0;0.0
Lou (father);;Shueisha;15/7/50;;72;86;57;73;Neutral;Alien;214.93;961.45;0.0;1.0;0.0
Unnamed (mother;;Marvel_Comics;16/7/10;;42;17;89;43;Good;Human;98.24;957.07;0.0;0.0;0.0
Colin Wagner;;Dark_Horse_Comics;9/8/55;;43;57;53;64;Good;Other;286.75;452.64;0.0;0.0;0.0
Collector;Taneleer Tivan;Lego;19/8/14;Energy Blasts, Energy Manipulation, Immortality, Invulnerability, Matter Manipulation, Mind Control, Precognition, Regeneration, Super Strength;64;6;93;83;Good;MetaHuman;87.14;435.54;0.0;0.0;0.0
Colleen Wing (MCU);Colleen Wing;DC_Comics;29/8/91;Agility, Intelligence, Peak Human Condition;15;24;16;31;Good;Alien;235.18;584.03;1.0;0.0;0.0
Colossus (FOX);Peter Rasputin;Lego;1/11/21;Accelerated Healing, Cold Resistance, Durability, Endurance, Fire Resistance, Heat Resistance, Invulnerability, Natural Armor, Stamina, Super Strength;98;59;96;93;Bad;Other;59.73;375.06;0.0;0.0;0.0
Colossus;Peter Rasputin;DC_Comics;18/5/46;;90;52;40;21;Neutral;Other;100.22;340.32;0.0;0.0;1.0
Commander Blunck;Blunck;Shueisha;10/11/44;Accelerated Healing, Agility, Camouflage, Cold Resistance, Dexterity, Durability, Endurance, Heat Resistance, Insanity, Invulnerability, Natural Armor, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Shapeshifting, Stamina, Stealth, Summoning, Super Strength, Toxin and Disease Resistance, Weapons Master;21;40;23;8;Good;Alien;189.0;370.56;0.0;0.0;0.0
Commander Machia;Machia;Lego;7/3/72;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Cold Resistance, Dexterity, Durability, Endurance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Heat Resistance, Insanity, Intelligence, Longevity, Marksmanship, Natural Weapons, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Shapeshifting, Stamina, Stealth, Summoning, Super Strength, Telepathy, Vision - Night, Weapons Master;36;29;53;25;Bad;Human;79.73;45.87;0.0;0.0;0.0
Commander Raggmunk;Raggmunk;DC_Comics;8/3/84;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Cold Resistance, Dexterity, Durability, Endurance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Heat Resistance, Insanity, Longevity, Marksmanship, Natural Weapons, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Shapeshifting, Stamina, Stealth, Summoning, Super Strength, Telepathy, Vision - Night, Weapons Master;15;82;52;42;Neutral;Alien;88.19;542.71;0.0;0.0;0.0
Connor Hawke;Connor Hawke;Dark_Horse_Comics;9/5/47;Accelerated Healing, Agility, Clairvoyance, Durability, Marksmanship, Peak Human Condition, Stamina, Stealth, Weapons Master;99;58;100;53;Neutral;Mutant;192.76;145.79;0.0;0.0;0.0
Connor Kenway;Ratonhnhaké:ton;Other;13/2/82;Agility, Danger Sense, Energy Manipulation, Intelligence, Marksmanship, Peak Human Condition, Reflexes, Stamina, Stealth, Vision - Cryo, Weapons Master;95;68;60;18;Bad;Mutant;30.04;587.64;0.0;0.0;0.0
Constantine (CW);John Constantine;Marvel_Comics;2/9/54;;9;33;10;63;Good;Human;97.5;500.77;0.0;1.0;0.0
Copperhead;Unknown;DC_Comics;31/3/36;Agility, Natural Weapons, Wallcrawling, Weapon-based Powers, Weapons Master;22;81;46;78;Neutral;Mutant;151.82;283.6;1.0;0.0;0.0
Copycat;Vanessa Carlysle;Marvel_Comics;4/11/14;Camouflage, Power Absorption, Shapeshifting, Stealth, Weapons Master;8;84;26;54;Neutral;Human;141.12;654.58;0.0;0.0;0.0
Corsair;Christopher Summers;Shueisha;11/4/78;;27;26;19;90;Bad;Human;111.65;822.24;0.0;0.0;0.0
Corvus Glaive (MCU);Corvus Glaive;Marvel_Comics;25/5/60;Accelerated Healing, Agility, Durability, Reflexes, Stamina, Stealth, Super Speed, Super Strength, Weapon-based Powers, Weapons Master;75;79;83;75;Neutral;Mutant;135.18;89.21;0.0;1.0;1.0
Cosmic Hulk;Robot Hulk;DC_Comics;27/8/14;Ability Shift, Absorption, Acausality, Accelerated Healing, Adaptation, Agility, Berserk Mode, Cold Resistance, Dexterity, Duplication, Durability, Durability Negation, Emotional Power Up, Endurance, Energy Absorption, Energy Armor, Energy Blasts, Energy Constructs, Fire Resistance, Force Fields, Heat Generation, Instinctive Reaction, Intangibility, Intelligence, Jump, Latent Abilities, Longevity, Matter Absorption, Matter Manipulation, Mind Control Resistance, Non-Physical Interaction, Power Absorption, Power Augmentation, Radiation Absorption, Radiation Control, Radiation Immunity, Rage Power, Reactive Evolution, Reactive Power Level, Reflexes, Resurrection, Seismic Power, Self-Destruction, Self-Sustenance, Stamina, Super Breath, Super Speed, Super Strength, Toxin and Disease Resistance, Underwater breathing, Uni-Power, Vision - X-Ray, Wallcrawling;65;66;20;64;Good;MetaHuman;252.52;450.23;0.0;0.0;0.0
Cosmic King Thor;Thor Odinson;Dark_Horse_Comics;13/7/62;Accelerated Healing, Acrobatics, Agility, Anti-Gravity, Antimatter Manipulation, Attack Reflection, Banish, Cold Resistance, Dexterity, Durability, Electrokinesis, Element Control, Endurance, Energy Absorption, Energy Beams, Energy Blasts, Energy Manipulation, Enhanced Senses, Flight, Godly Physiology, Heat Resistance, Homing Attack, Immortality, Intelligence, Invulnerability, Longevity, Magic, Marksmanship, Matter Manipulation, Mind Control Resistance, Odin Force, Omnilingualism, Portal Creation, Power Cosmic, Reflexes, Regeneration, Rune Magic, Self-Sustenance, Stamina, Statistics Amplification, Super Speed, Super Strength, Telepathy, Telepathy Resistance, Toxin and Disease Resistance, Transmutation, Void Manipulation, Weapon-based Powers, Weapons Master, Weather Control, Wind Control;33;50;55;16;Neutral;God_Eternal;58.91;471.29;0.0;0.0;0.0
Cosmo The Spacedog;Cosmo;Dark_Horse_Comics;8/4/04;Animal Attributes, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Smell, Intelligence, Mind Blast, Mind Control, Mind Control Resistance, Psionic Powers, Telekinesis, Telepathy, Telepathy Resistance, Teleportation;52;71;57;68;Neutral;MetaHuman;35.27;837.85;1.0;0.0;0.0
Cottonmouth;Burchell Clemens;DC_Comics;18/6/17;Super Strength;69;39;5;99;Neutral;God_Eternal;183.82;800.8;0.0;1.0;0.0
Crimson Crusader;Rory Destine;Shueisha;13/10/10;Flight, Force Fields, Gravity Control, Longevity;73;87;42;28;Neutral;Alien;61.02;859.5;0.0;0.0;0.0
Crimson Dynamo;Anton Vanko;Dark_Horse_Comics;5/9/46;;43;71;10;88;Bad;MetaHuman;274.78;438.32;0.0;0.0;0.0
Crossbones;Brock Rumlow;Marvel_Comics;19/9/42;Agility, Dexterity, Durability, Marksmanship, Reflexes, Stamina, Super Speed, Super Strength;41;28;81;27;Good;MetaHuman;172.52;74.02;0.0;0.0;0.0
Crystal (MCU);Crystalia Amaquelin;Marvel_Comics;11/9/99;Agility, Cryokinesis, Electrokinesis, Element Control, Fire Control, Molecular Combustion, Stamina, Water Control, Wind Control;68;25;98;46;Good;Mutant;110.93;331.8;1.0;0.0;0.0
Crystal;Crystallia Amaquelin;Other;22/7/06;Element Control, Fire Control, Reflexes, Stamina, Super Speed, Super Strength, Water Control, Wind Control;23;41;44;86;Bad;Other;155.36;299.05;0.0;0.0;0.0
Cull Obsidian (MCU);Cull Obsidian;Dark_Horse_Comics;22/10/52;Accelerated Healing, Agility, Durability, Jump, Marksmanship, Reflexes, Stamina, Super Speed, Super Strength, Weapon-based Powers, Weapons Master;48;92;8;27;Good;Other;95.74;238.65;0.0;0.0;1.0
Curse;Phillip Krahn;Marvel_Comics;19/12/99;Energy Blasts, Intelligence, Magic;24;19;62;9;Good;Alien;59.48;608.2;0.0;0.0;0.0
Cy-Gor;;Lego;23/1/60;Animal Attributes, Dexterity, Enhanced Senses, Stamina, Super Speed, Super Strength, Technopath/Cyberpath;16;37;65;9;Neutral;MetaHuman;169.49;14.59;0.0;0.0;0.0
Cyborg (Sonar Suit);Victor Stone;Other;7/2/03;Audio Control, Intelligence, Marksmanship, Sonar, Weapon-based Powers;69;19;97;83;Good;MetaHuman;59.42;393.69;0.0;0.0;0.0
Cyborg Superman (CW);Hank Henshaw;Other;29/6/07;;32;37;60;73;Good;MetaHuman;121.98;954.49;0.0;1.0;0.0
Cyborg Superman;Henry Henshaw;Dark_Horse_Comics;11/2/17;;77;67;43;8;Bad;Alien;201.88;956.96;1.0;0.0;0.0
Cyborg;Victor Stone;DC_Comics;13/1/11;;95;66;68;29;Neutral;Mutant;152.92;718.06;0.0;0.0;0.0
Cyclops (FOX);Scott Summers;Other;14/7/61;Element Control, Energy Absorption, Energy Beams, Energy Blasts, Energy Manipulation, Marksmanship;86;96;23;79;Good;Other;82.49;656.11;0.0;0.0;0.0
Katherine Summers - Mother;;Shueisha;20/12/53;;96;84;73;8;Bad;Mutant;203.84;5.5;0.0;1.0;1.0
Havok - Older Brother;;Lego;16/2/05;;99;76;30;67;Neutral;Mutant;243.08;193.39;0.0;0.0;0.0
Cable - Possible Relative;;Dark_Horse_Comics;3/5/85;;75;93;41;80;Bad;Human;27.17;935.0;0.0;0.0;0.0
Cyclops;Scott Summers;Dark_Horse_Comics;8/7/10;;61;60;38;21;Neutral;Other;77.84;213.57;1.0;0.0;0.0
Cypher;Douglas Aaron Ramsey;Other;10/2/87;Clairvoyance, Hacking, Intelligence, Intuitive aptitude, Magic, Omnilingualism, Peak Human Condition, Photographic Reflexes, Technopath/Cyberpath, Telepathy, Teleportation, Weapons Master;92;86;73;63;Good;Alien;114.74;399.38;0.0;1.0;0.0
Cyrus Borg;Cyrus Borg;Lego;27/7/83;Hacking, Intelligence, Marksmanship, Size Changing, Technopath/Cyberpath, Weapon Creation, Weapon-based Powers, Weapons Master;12;83;24;13;Bad;Mutant;96.13;92.54;0.0;0.0;0.0
Daddy No Legs;Nobody Knows;Marvel_Comics;12/1/43;Agility, Changing Armor, Durability, Heat Resistance, Insanity, Intelligence, Jump, Longevity, Marksmanship, Power Suit, Regeneration, Stamina, Super Strength, Wallcrawling, Weapon-based Powers, Weapons Master;75;5;9;33;Good;Mutant;215.83;480.76;0.0;0.0;0.0
Dagger;Tandy Bowen;Dark_Horse_Comics;19/2/56;Energy Blasts, Light Control, Natural Weapons;78;73;14;68;Neutral;Human;39.99;429.05;0.0;0.0;0.0
Daken;Akihiro;Lego;15/7/76;Accelerated Healing, Agility, Cold Resistance, Durability, Empathy, Enhanced Memory, Enhanced Senses, Heat Resistance, Longevity, Peak Human Condition, Reflexes, Regeneration, Stamina, Super Speed, Telepathy, Telepathy Resistance, Toxin and Disease Resistance;99;92;92;80;Good;Mutant;39.2;614.77;1.0;0.0;0.0
John Howlett; Sr. (step-paternal grandfather;DC_Comics;30/4/16;;79;18;87;15;Bad;God_Eternal;114.51;431.57;0.0;0.0;0.0
